"Species","TaxID"
"Buddleja lindleyana","168497"
"Buddleja officinalis","714454"
"Buglossoides arvensis","181181"
"Bulbostylis barbata","269566"
"Bulbostylis capillaris","2042372"
"Bulbostylis ciliatifolia","1620025"
"Bulbostylis stenophylla","1620026"
"Bulbostylis warei","1620027"
"Bupleurum rotundifolium","90446"
"Burmannia biflora","101608"
"Burmannia capitata","147072"
"Cabomba caroliniana","4426"
"Caesalpinia gilliesii","191891"
"Cakile edentula","349956"
"Calamagrostis canadensis","52148"
"Calamagrostis coarctata","2030666"
"Calamagrostis porteri","2030676"
"Callicarpa americana","204211"
"Callirhoe papaver","1969228"
"Callirhoe triangulata","2520620"
"Callisia cordifolia","428216"
"Callisia graminea","428218"
"Callisia rosea","1415676"
"Callitriche heterophylla","13381"
"Callitriche peploides","119593"
"Callitriche terrestris","119596"
"Calopogon barbatus","160947"
"Calopogon multiflorus","160948"
"Calopogon oklahomensis","160949"
"Calopogon pallidus","160950"
"Calopogon tuberosus","78712"
"Calycanthus floridus","3429"
"Calycocarpum lyonii","461561"
"Calyptocarpus vialis","53717"
"Calystegia catesbeiana","1428827"
"Calystegia macounii","2065859"
"Calystegia sepium","47519"
"Calystegia silvatica","267568"
"Calystegia spithamaea","1428840"
"Camassia scilloides","39524"
"Camelina microcarpa","71324"
"Camellia japonica","4443"
"Camellia sasanqua","182300"
"Camellia sinensis","4442"
"Campanula aparinoides","428155"
"Campanula divaricata","239401"
"Campanulastrum americanum","239430"
"Campsis radicans","83937"
"Canavalia ensiformis","3823"
"Canna x generalis","341692"
"Canna flaccida","147184"
"Canna indica","4628"
"Cannabis sativa","3483"
"Capsella bursa-pastoris","3719"
"Capsicum annuum","4072"
"Cardamine angustata","109590"
"Cardamine bulbosa","109593"
"Cardamine concatenata","109596"
"Cardamine diphylla","109597"
"Cardamine dissecta","109598"
"Cardamine flagellifera","109599"
"Cardamine flexuosa","50462"
"Cardamine hirsuta","50463"
"Cardamine parviflora","352371"
"Cardamine pensylvanica","65946"
"Cardiospermum halicacabum","289799"
"Carduus nutans","92906"
"Carex abscondita","912373"
"Carex acidicola","653364"
"Carex aestivalis","912375"
"Carex alata","314396"
"Carex albicans","69846"
"Carex albolutescens","314397"
"Carex albursina","312728"
"Carex amphibola","330162"
"Carex annectens","432977"
"Carex appalachica","312730"
"Carex atlantica","432979"
"Carex aureolensis","912386"
"Carex austrocaroliniana","912387"
"Carex austrodeflexa","2753187"
"Carex baltzellii","912389"
"Carex barrattii","912390"
"Carex basiantha","69850"
"Carex biltmoreana","418153"
"Carex blanda","69851"
"Carex bromoides","240666"
"Carex brunnescens","240691"
"Carex bullata","912395"
"Carex bushii","912396"
"Carex buxbaumii","241202"
