Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"LOTR2",,"Lomatium triternatum (Pursh) J.M. Coult. & Rose",nineleaf biscuitroot
"LOTRA",,"Lomatium triternatum (Pursh) J.M. Coult. & Rose var. anomalum (M.E. Jones ex J.M. Coult. & Rose) Mathias",broadnineleaf biscuitroot
"LOTRB",,"Lomatium triternatum (Pursh) J.M. Coult. & Rose var. brevifolium (J.M. Coult. & Rose) Mathias",nineleaf biscuitroot
"LOTRM",,"Lomatium triternatum (Pursh) J.M. Coult. & Rose var. macrocarpum (J.M. Coult. & Rose) Mathias",nineleaf biscuitroot
"LOTRT",,"Lomatium triternatum (Pursh) J.M. Coult. & Rose var. triternatum ",nineleaf biscuitroot
"LOUT",,"Lomatium utriculatum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose",common lomatium
"LOVA",,"Lomatium vaginatum J.M. Coult. & Rose",broadsheath desertparsley
"LOWA",,"Lomatium watsonii (J.M. Coult. & Rose) J.M. Coult. & Rose",Watson's desertparsley
"LOCA6",,"Lonicera caerulea L.",sweetberry honeysuckle
"LOCAC3",,"Lonicera caerulea L. var. cauriana (Fernald) B. Boivin",bluefly honeysuckle
"LOCI3",,"Lonicera ciliosa (Pursh) Poir. ex DC.",orange honeysuckle
"LOCO5",,"Lonicera conjugialis Kellogg",purpleflower honeysuckle
"LOET",,"Lonicera etrusca Santi",Etruscan honeysuckle
"LOHI2",,"Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray",pink honeysuckle
"LOHIH",,"Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray var. hispidula ",pink honeysuckle
"LOHIV",,"Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray var. vacillans A. Gray",pink honeysuckle
"LOIN4",,"Lonicera interrupta Benth.",chaparral honeysuckle
"LOIN5",,"Lonicera involucrata (Richardson) Banks ex Spreng.",twinberry honeysuckle
"LOINI",,"Lonicera involucrata (Richardson) Banks ex Spreng. var. involucrata ",twinberry honeysuckle
"LOINL",,"Lonicera involucrata (Richardson) Banks ex Spreng. var. ledebourii (Eschsch.) Zabel",twinberry honeysuckle
"LOMA6",,"Lonicera maackii (Rupr.) Herder",Amur honeysuckle
"LOPE4",,"Lonicera periclymenum L.",European honeysuckle
"LOTA",,"Lonicera tatarica L.",Tatarian honeysuckle
"LOUT2",,"Lonicera utahensis S. Watson",Utah honeysuckle
"LOXY",,"Lonicera xylosteum L.",dwarf honeysuckle
"LOAB",,"Lotus aboriginus Jeps.",rosy bird's-foot trefoil
"LOCO6",,"Lotus corniculatus L.",bird's-foot trefoil
"LOCOC5",,"Lotus corniculatus L. var. corniculatus ",bird's-foot trefoil
"LOCR",,"Lotus crassifolius (Benth.) Greene",big deervetch
"LOCRC",,"Lotus crassifolius (Benth.) Greene var. crassifolius ",big deervetch
"LODE",,"Lotus denticulatus (E. Drew) Greene",riverbar bird's-foot trefoil
"LOFO2",,"Lotus formosissimus Greene",seaside bird's-foot trefoil
"LOHU2",,"Lotus humistratus Greene",foothill deervetch
"LOMI",,"Lotus micranthus Benth.",desert deervetch
"LONE4",,"Lotus nevadensis (S. Watson) Greene",Nevada bird's-foot trefoil
"LONED",,"Lotus nevadensis (S. Watson) Greene var. douglasii (Greene) Ottley",Douglas' bird's-foot trefoil
"LOOB2",,"Lotus oblongifolius (Benth.) Greene",streambank bird's-foot trefoil
"LOOBO2",,"Lotus oblongifolius (Benth.) Greene var. oblongifolius ",streambank bird's-foot trefoil
"LOPA81",,"Lotus parviflorus Desf.",smallflower bird's-foot trefoil
"LOPE80",,"Lotus pedunculatus Cav.",big trefoil
