Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"LOSIL2",,"Lomatium simplex (Nutt.) J.F. Macbr. var. leptophyllum (Hook.) Mathias",slenderleaf lomatium
"LOSIS",,"Lomatium simplex (Nutt.) J.F. Macbr. var. simplex ",Great Basin desertparsley
"LOTR2",,"Lomatium triternatum (Pursh) J.M. Coult. & Rose",nineleaf biscuitroot
"LOTRA",,"Lomatium triternatum (Pursh) J.M. Coult. & Rose var. anomalum (M.E. Jones ex J.M. Coult. & Rose) Mathias",broadnineleaf biscuitroot
"LOTRT",,"Lomatium triternatum (Pursh) J.M. Coult. & Rose var. triternatum ",nineleaf biscuitroot
"LORO",,"Lomatogonium rotatum (L.) Fr. ex Fernald",marsh felwort
"LOBE",,"Lonicera ×bella Zabel [morrowii × tatarica]",showy fly honeysuckle
"LOMI5",,"Lonicera ×minutiflora Zabel [morrowii × xylosteoides]",honeysuckle
"LOCA6",,"Lonicera caerulea L.",sweetberry honeysuckle
"LOCAC3",,"Lonicera caerulea L. var. cauriana (Fernald) B. Boivin",bluefly honeysuckle
"LODI2",,"Lonicera dioica L.",limber honeysuckle
"LOIN5",,"Lonicera involucrata (Richardson) Banks ex Spreng.",twinberry honeysuckle
"LOINI",,"Lonicera involucrata (Richardson) Banks ex Spreng. var. involucrata ",twinberry honeysuckle
"LOMO2",,"Lonicera morrowii A. Gray",Morrow's honeysuckle
"LOTA",,"Lonicera tatarica L.",Tatarian honeysuckle
"LOUT2",,"Lonicera utahensis S. Watson",Utah honeysuckle
"LOCO6",,"Lotus corniculatus L.",bird's-foot trefoil
"LOCOC5",,"Lotus corniculatus L. var. corniculatus ",bird's-foot trefoil
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"LUAL5",,"Lupinus ×alpestris A. Nelson (pro sp.) [argenteus × caudatus]",Great Basin lupine
"LUAR3",,"Lupinus argenteus Pursh",silvery lupine
"LUARA5",,"Lupinus argenteus Pursh ssp. argenteus ",silvery lupine
"LUARA11",,"Lupinus argenteus Pursh ssp. argenteus var. argenteus ",silvery lupine
"LUARL5",,"Lupinus argenteus Pursh ssp. argenteus var. laxiflorus (Douglas ex Lindl.) Dorn",silvery lupine
"LUARR",,"Lupinus argenteus Pursh ssp. rubricaulis (Greene) Hess & D. Dunn",silvery lupine
"LUARS3",,"Lupinus argenteus Pursh ssp. spathulatus (Rydb.) Hess & D. Dunn",silvery lupine
"LUBR2",,"Lupinus brevicaulis S. Watson",shortstem lupine
"LUBU2",,"Lupinus burkei S. Watson",largeleaf lupine
"LUBUB",,"Lupinus burkei S. Watson ssp. burkei ",largeleaf lupine
"LUCA3",,"Lupinus caespitosus Nutt.",stemless dwarf lupine
"LUCAC2",,"Lupinus caespitosus Nutt. var. caespitosus ",stemless dwarf lupine
"LUCAU",,"Lupinus caespitosus Nutt. var. utahensis (S. Watson) Cox",Utah lupine
"LUCA",,"Lupinus caudatus Kellogg",tailcup lupine
"LUCAA",,"Lupinus caudatus Kellogg ssp. argophyllus (A. Gray) L. Phillips",Kellogg's spurred lupine
