Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGHU",,"Agrostis humilis Vasey",alpine bentgrass
"AGID",,"Agrostis idahoensis Nash",Idaho bentgrass
"AGOR",,"Agrostis oregonensis Vasey",Oregon bentgrass
"AGPA8",,"Agrostis pallens Trin.",seashore bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AGVA",,"Agrostis variabilis Rydb.",mountain bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"ALRO3",,"Alcea rosea L.",hollyhock
"ALMA12",,"Alhagi maurorum Medik.",camelthorn
"ALHE3",,"Aliciella heterostyla (S. Cochrane & A.G. Day) J.M. Porter",cactus flat gilia
"ALHU6",,"Aliciella hutchinsifolia (Rydb.) J.M. Porter",desert pale gilia
"ALLA13",,"Aliciella latifolia (S. Watson) J.M. Porter",broad-leaf gilia
"ALLAL3",,"Aliciella latifolia (S. Watson) J.M. Porter ssp. latifolia ",broadleaf gilia
"ALLE7",,"Aliciella leptomeria (A. Gray) J.M. Porter",sand gilia
"ALLO6",,"Aliciella lottiae (Day) J.M. Porter",Lott's gilia
"ALMI10",,"Aliciella micromeria (A. Gray) J.M. Porter",dainty gilia
"ALNY2",,"Aliciella nyensis (Reveal) J.M. Porter",Nye gilia
"ALRI3",,"Aliciella ripleyi (Barneby) J.M. Porter",Ripley's gilia
"ALSU10",,"Aliciella subacaulis (Rydb.) J.M. Porter & L.A. Johnson",pinyon gilia
"ALTR14",,"Aliciella triodon (Eastw.) Brand",coyote gilia
"ALGR",,"Alisma gramineum Lej.",narrowleaf water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALOC2",,"Allenrolfea occidentalis (S. Watson) Kuntze",iodinebush
"ALIN",,"Allionia incarnata L.",trailing windmills
"ALINN",,"Allionia incarnata L. var. nudata (Standl.) Munz",trailing windmills
"ALINV2",,"Allionia incarnata L. var. villosa (Standl.) B.L. Turner",trailing windmills
"ALAC4",,"Allium acuminatum Hook.",tapertip onion
"ALAN",,"Allium anceps Kellogg",twinleaf onion
"ALAT",,"Allium atrorubens S. Watson",darkred onion
