Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ALSCS",,"Allium schoenoprasum L. var. sibiricum (L.) Hartm.",wild chives
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALGL2",,"Alnus glutinosa (L.) Gaertn.",European alder
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALSE2",,"Alnus serrulata (Aiton) Willd.",hazel alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALCA4",,"Alopecurus carolinianus Walter",Carolina foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALMY",,"Alopecurus myosuroides Huds.",slender meadow foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"ALPU3",,"Alternanthera pungens Kunth",khakiweed
"ALOF2",,"Althaea officinalis L.",common marshmallow
"ALVA2",,"Alysicarpus vaginalis (L.) DC.",white moneywort
"ALAL3",,"Alyssum alyssoides (L.) L.",pale madwort
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMAR",,"Amaranthus arenicola I.M. Johnst.",sandhill amaranth
"AMAU",,"Amaranthus australis (A. Gray) Sauer",southern amaranth
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMBL2",,"Amaranthus blitum L.",purple amaranth
"AMBLE2",,"Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon",purple amaranth
"AMCA2",,"Amaranthus cannabinus (L.) Sauer",tidalmarsh amaranth
"AMCA3",,"Amaranthus caudatus L.",foxtail amaranth
"AMCR2",,"Amaranthus crispus (Lesp. & Thev.) N. Terracc.",crispleaf amaranth
"AMCR4",,"Amaranthus cruentus L.",red amaranth
"AMDE",,"Amaranthus deflexus L.",largefruit amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMPA",,"Amaranthus palmeri S. Watson",carelessweed
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
