Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGPA4",,"Agave parryi Engelm.",Parry's agave
"AGPAP5",,"Agave parryi Engelm. ssp. parryi ",Parry's agave
"AGPA5",,"Agave parviflora Torr.",smallflower century plant
"AGPH",,"Agave phillipsiana W.C. Hodgson",Grand Canyon century plant
"AGSC3",,"Agave schottii Engelm.",Schott's century plant
"AGSCS2",,"Agave schottii Engelm. var. schottii ",Schott's century plant
"AGSCT",,"Agave schottii Engelm. var. treleasei (Toumey) Kearney & Peebles",Trelease's century plant
"AGTO",,"Agave toumeyana Trel. ex Standl.",Toumey's century plant
"AGTOB",,"Agave toumeyana Trel. ex Standl. var. bella Breitung",Toumey's century plant
"AGTOT",,"Agave toumeyana Trel. ex Standl. var. toumeyana ",Toumey's century plant
"AGUN2",,"Agave univittata Haw.",McKelvey's century plant
"AGUT",,"Agave utahensis Engelm.",Utah agave
"AGUTK",,"Agave utahensis Engelm. var. kaibabensis (McKelvey) Breitung",Kaibab agave
"AGUTU",,"Agave utahensis Engelm. var. utahensis ",Utah agave
"AGHE5",,"Ageratina herbacea (A. Gray) R.M. King & H. Rob.",fragrant snakeroot
"AGLE3",,"Ageratina lemmonii (B.L. Rob.) R.M. King & H. Rob.",Lemmon's snakeroot
"AGPA13",,"Ageratina paupercula (A. Gray) R.M. King & H. Rob.",Santa Rita snakeroot
"AGRO5",,"Ageratina rothrockii (A. Gray) R.M. King & H. Rob.",Rothrock's snakeroot
"AGWR2",,"Ageratina wrightii (A. Gray) R.M. King & H. Rob.",Wright's snakeroot
"AGCO2",,"Ageratum corymbosum Zuccagni ex Pers.",flat-top whiteweed
"AGAU2",,"Agoseris aurantiaca (Hook.) Greene",orange agoseris
"AGAUP",,"Agoseris aurantiaca (Hook.) Greene var. purpurea (A. Gray) Cronquist",orange agoseris
"AGGL",,"Agoseris glauca (Pursh) Raf.",pale agoseris
"AGGLD",,"Agoseris glauca (Pursh) Raf. var. dasycephala (Torr. & A. Gray) Jeps.",pale agoseris
"AGGLG",,"Agoseris glauca (Pursh) Raf. var. glauca ",pale agoseris
"AGGLL",,"Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley",false agoseris
"AGHE2",,"Agoseris heterophylla (Nutt.) Greene",annual agoseris
"AGHEH",,"Agoseris heterophylla (Nutt.) Greene var. heterophylla ",annual agoseris
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGDE2",,"Agropyron desertorum (Fisch. ex Link) Schult.",desert wheatgrass
"AGEL4",,"Agrostis elliottiana Schult.",Elliott's bentgrass
"AGEX",,"Agrostis exarata Trin.",spike bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGID",,"Agrostis idahoensis Nash",Idaho bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"ALJU",,"Albizia julibrissin Durazz.",silktree
"ALMA3",,"Aletes macdougalii J.M. Coult. & Rose",MacDougal's Indian parsley
"ALMAM",,"Aletes macdougalii J.M. Coult. & Rose ssp. macdougalii ",MacDougal's Indian parsley
"ALSE5",,"Aletes sessiliflorus W.L. Theobald & C.C. Tseng",sessileflower Indian parsley
"ALMA12",,"Alhagi maurorum Medik.",camelthorn
"ALHU6",,"Aliciella hutchinsifolia (Rydb.) J.M. Porter",desert pale gilia
"ALLA13",,"Aliciella latifolia (S. Watson) J.M. Porter",broad-leaf gilia
"ALLAL3",,"Aliciella latifolia (S. Watson) J.M. Porter ssp. latifolia ",broadleaf gilia
"ALLE7",,"Aliciella leptomeria (A. Gray) J.M. Porter",sand gilia
"ALLO6",,"Aliciella lottiae (Day) J.M. Porter",Lott's gilia
"ALSU10",,"Aliciella subacaulis (Rydb.) J.M. Porter & L.A. Johnson",pinyon gilia
"ALSU9",,"Aliciella subnuda (Torr. ex A. Gray) J.M. Porter",coral gilia
"ALTR14",,"Aliciella triodon (Eastw.) Brand",coyote gilia
"ALGR",,"Alisma gramineum Lej.",narrowleaf water plantain
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALOC2",,"Allenrolfea occidentalis (S. Watson) Kuntze",iodinebush
"ALCH",,"Allionia choisyi Standl.",annual windmills
"ALIN",,"Allionia incarnata L.",trailing windmills
"ALINI",,"Allionia incarnata L. var. incarnata ",trailing windmills
"ALINN",,"Allionia incarnata L. var. nudata (Standl.) Munz",trailing windmills
"ALINV2",,"Allionia incarnata L. var. villosa (Standl.) B.L. Turner",trailing windmills
"ALAC4",,"Allium acuminatum Hook.",tapertip onion
"ALAT",,"Allium atrorubens S. Watson",darkred onion
"ALATA",,"Allium atrorubens S. Watson var. atrorubens ",darkred onion
"ALATC",,"Allium atrorubens S. Watson var. cristatum (S. Watson) McNeal",darkred onion
"ALBI",,"Allium bigelovii S. Watson",Bigelow's onion
"ALBI2",,"Allium bisceptrum S. Watson",twincrest onion
